CountryName,CountryCode,Year,PopulationFemale,PopulationFemalePercentOfTotal,LaborForceFemale,LaborForceFemalePercentOfTotalLaborForce,LaborForceTotal,ProportionOfSeatsHeldByWomenInNationalParliamentsPercent
Arab World,ARB,2014,185863812,48.2421642636111,28935114,22.2329955967625,130144924,17.7939697133586
Caribbean small states,CSS,2014,3468523,50.3686783184456,1385582,42.9126869092306,3228841,17.158690744921
Central Europe and the Baltics,CEB,2014,53493600,51.7070521421903,22601485,45.4831981709066,49691940,19.6976318141197
East Asia & Pacific (all income levels),EAS,2014,1101817358,49.1774287430024,547340201,43.457484146867,1259484322,18.6234053367217
East Asia & Pacific (developing only),EAP,2014,989650328,48.9800347984101,498185125,43.5010433620294,1145225691,19.0145386904762
Euro area,EMU,2014,173245428,51.1449875130528,74297536,45.4945968904508,163310679,30.117628057222
Europe & Central Asia (all income levels),ECS,2014,465040489,51.6185981017958,197068419,45.2351856043942,435652939,25.3484317681585
Europe & Central Asia (developing only),ECA,2014,135291893,51.5343541267066,49360807,42.1320860299932,117157280,18.6102242936207
European Union,EUU,2014,259971725,51.1438713801637,112564641,45.5681750278224,247024680,27.7298367973218
Fragile and conflict affected situations,FCS,2014,235233944,49.9362226851587,70935224,40.4360863353886,175425540,15.7657095527333
Heavily indebted poor countries (HIPC),HPC,2014,351501906,50.0918959706608,133415016,45.5281351985387,293038612,22.0848109113453
High income,HIC,2014,696733593,50.6828374916001,304848973,44.2076046237618,689584911,25.4796949650864
High income: nonOECD,NOC,2014,152900336,50.1860552487624,62936422,41.0879688688266,153174825,19.436314699793
High income: OECD,OEC,2014,543833257,50.8242855426206,241912550,45.0984336168906,536410086,27.2030109812256
Latin America & Caribbean (all income levels),LCN,2014,316550846,50.5687807375728,126967137,41.4854101586262,306052505,27.5397527341893
Latin America & Caribbean (developing only),LAC,2014,265312862,50.5260569591419,107988367,41.639049420002,259343978,28.5263296317943
Least developed countries: UN classification,LDC,2014,467078462,50.1186630751628,182755429,44.9574108528099,406507907,21.1370834346874
Low & middle income,LMY,2014,2888140405,49.2866580368128,1035312092,38.4228419423177,2694522417,20.8624814043439
Low income,LIC,2014,312656653,50.2681537110161,128210648,47.3061172847294,271023398,22.3202683504341
Lower middle income,LMC,2014,1411800100,49.0670236789402,379175598,32.4309482969689,1169178262,16.8735583684951
Middle East & North Africa (all income levels),MEA,2014,201762621,48.3319990505047,30581231,21.2290924851226,144053408,16.0883051350549
Middle East & North Africa (developing only),MNA,2014,177398871,49.6480497935623,24885316,21.6138105188672,115136181,16.7501085383502
Middle income,MIC,2014,2575483752,49.1701098573234,907101444,37.4294124172116,2423499018,20.4131513647643
North America,NAC,2014,178771120,50.4436778115867,83118320,45.9791995345253,180773744,21.699730458221
OECD members,OED,2014,645456553,50.7696007959286,271046732,43.7348461285955,619750045,27.0015235893664
Other small states,OSS,2014,10488557,50.095406946391,3785181,43.7593800686475,8649990,17.3383730484799
Pacific island small states,PSS,2014,1097104,49.2096477649859,290852,37.1399821994302,783122,4.83931623931624
Small states,SST,2014,15054184,50.0923145818419,5461615,43.1340715186783,12661953,15.1172053704625
South Asia,SAS,2014,833642272,48.4388322700683,178960026,26.5385995631607,674338617,19.2310715763343
Sub-Saharan Africa (all income levels),SSF,2014,487289292,50.0135101077887,176125732,45.8957415216559,383751793,22.1066674733785
Sub-Saharan Africa (developing only),SSA,2014,486844179,50.0146623099184,175932451,45.8969380542326,383320669,21.9980201672405
Upper middle income,UMC,2014,1163683652,49.2957587180928,527925846,42.0885839649706,1254320756,23.3058532272325
World,WLD,2014,3584873998,49.5519560392221,1340161065,39.6016121979219,3384107327,22.1929312718416
Afghanistan,AFG,2014,15326085,48.4580889811546,1337787,16.0514394962357,8334374,27.7
Albania,ALB,2014,1454756,50.2597523044106,533552,41.266475010886,1292943,20
Algeria,DZA,2014,19341658,49.6776392784836,2146829,17.3761564927251,12355028,31.6
Angola,AGO,2014,12208933,50.3928218170375,4086425,46.2045538524439,8844204,36.8
Argentina,ARG,2014,21951299,51.0732566797424,7900470,40.4313595423156,19540451,36.6
Armenia,ARM,2014,1586784,52.7845213518669,720361,46.1778456137967,1559971,10.7
Australia,AUS,2014,11750445,50.0216130035818,5642285,45.3888263212935,12431000,26
Austria,AUT,2014,4348752,50.9550170507728,2053045,46.0049817843984,4462658,32.2
Azerbaijan,AZE,2014,4792394,50.246199834908,2408360,48.6302180319256,4952394,15.6
Bahamas-The,BHS,2014,195574,51.0565090039525,108172,48.300774709205,223955,13.2
Bahrain,BHR,2014,516432,37.9191294706776,146754,19.5655043229587,750065,7.5
Bangladesh,BGD,2014,78755873,49.5078603598737,31916916,40.413038880872,78976778,19.8
Barbados,BRB,2014,147555,52.0696591149693,79373,48.8996907305413,162318,16.7
